code,secteur,NB,EF,CA
4,"Prod. Combustibles min.solides, cokéfaction",19,49251,14111
5,Production de pétrole et de gaz naturel,120,46594,306293
6,Production et distribution d’électricité,731,129723,138389
7,Distribution de gaz,103,30255,60767
8,Distribution d’eau et chauffage urbain,227,28658,24957
9,Extraction et préparation de minerai de fer,25,2582,992
10,Sidérurgie,67,92085,80237
11,Première transformation de l’acier,238,37204,24853
12,Extract. Et prépar. De minerais non ferreux,40,1701,1159
13,"Métallurgie, 1ere transf. Des mét. Non ferreux",303,55374,81550
14,Production de minéraux divers,270,12621,7535
15,Prod. De matér. De constr. Et de céramique,7948,133348,75049
16,Industrie du verre,1099,58638,29928
17,Industrie chimique de bas,1121,122023,191516
18,Parachimie,1718,116057,100373
19,Industrie pharmaceutique,567,69291,67113
20,Fonderie,642,48726,19080
21,Travail de métaux,23357,323725,135652
22,Fabrication de machine agricoles,4226,36853,23099
23,Fabrication de machines-outils,1447,45658,20113
24,Production d’équipement industriel,7287,212198,113619
25,"Fabrication de mat. De manutent., de mat. Pour les mines, la sidérurgie, le génie civil",1100,58304,35089
26,Industrie de l’armement,26,7870,5802
27,"Mach. De bureau, mat. Traitem. Information",456,57949,60199
28,Fabrication de matériel électrique,3019,206872,101021
29,"Fabr. Mat. Électron. Ménager, professionnel",3872,246872,135719
30,Fabrication d’équipement ménager,403,51686,23492
31,"Constr. Automobiles, mat. Transport terrestre",2303,425082,292384
32,Construction navale,764,25836,8160
33,Contruction aéronautique,264,114761,92710
34,"Fabr. d’instruments, matériels de précision",6493,74931,32268
35,Industrie de la viande,3775,95288,117704
36,Industrie laitière,1219,79181,116095
37,Fabrication de conserves,971,38801,28546
38,"Boulangerie, pâtisserie",41866,130611,46159
39,Travail du grain,2904,61256,82613
40,Fabrication de produits alim. Divers,1965,71303,89876
41,Fabrication de boissons et alcools,2786,52850,54712
42,Transformation du tabac,11,8505,22616
43,Fils et fibres artificiels et synthétiques,20,7197,5770
44,Industrie textile,6383,235190,109206
45,Industrie du cuir,2997,29531,12440
46,Industrie de la chaussure,1166,63313,22378
47,Industrie de l’habillement,16239,180225,63868
48,Travail mécanique du bois,8760,84869,38130
49,Industrie de l’ameublement,18118,82904,31677
50,Industrie du papier et du carton,1562,102728,71108
51,"Imprimerie, presse, édition",15729,202085,118663
52,Industrie du caoutchouc,746,87121,37502
53,Transformation des matières plastiques,3232,102437,58122
54,Industries divers,10171,84012,38071
