Pays,Monnaie,Superficie,Adhesion,nbrFrontieres,Population,PIB,PIBppa,AgeMedian,fecondite,fecondite.centre
Allemagne,Euro,357021,1956,8,82400996,3322,2810,43,1.4,1.5
Belgique,Euro,30528,1956,4,10392226,453.6,376,41.1,1.64,1.7
France,Euro,547030,1956,5,63713926,2560,2047,39,1.98,1.9
Italie,Euro,301320,1956,3,58147733,2105,1786,42.5,1.29,1.3
Luxembourg,Euro,2586,1956,3,480222,50.16,38.6,38.9,1.78,1.7
Pays-Bas,Euro,41526,1956,2,16570613,768.7,639.5,39.7,1.66,1.7
Danemark,Couronne danoise,43094,1973,1,5468120,311.9,203.7,40.1,1.74,1.7
Irelande,Euro,70280,1973,1,4109086,258.6,186.2,34.3,1.86,1.9
Royaume-Uni,Livre britannique,244820,1973,1,60776238,2773,2137,39.6,1.66,1.7
Grèce,Euro (2001),131940,1981,1,10706290,314.6,324.6,41.2,1.35,1.3
Espagne,Euro,504782,1986,2,40448191,1439,1352,40.3,1.29,1.3
Portugal,Euro,92931,1986,1,10642836,223.3,230.5,38.8,1.48,1.5
Autriche,Euro,83858,1995,6,8199783,379.3,317.8,41.3,1.37,1.3
Finlande,Euro,337030,1995,1,5238460,245,185.5,41.6,1.73,1.7
Suède,Couronne suèdoise,449964,1995,1,9031088,455.3,334.6,41,1.66,1.7
Chypre,Euro (2008),9250,2004,0,788457,21.3,21.3,35.1,1.8,1.9
Estonie,Couronne estonienne,45226,2004,1,1315912,21.28,29.3,39.4,1.41,1.5
Hongrie,Forint,93030,2004,4,9956108,138.4,191.3,38.9,1.33,1.3
Lettonie,Lat,64589,2004,2,2259810,27.34,39.73,39.6,1.28,1.3
Lituanie,Litas,65200,2004,2,3575439,38.35,59.64,38.6,1.21,1.3
Malte,Euro (2008),316,2004,0,401880,7.419,9.4,39,1.51,1.5
Pologne,Zloty,312685,2004,4,38518241,420.3,620.9,37.3,1.26,1.3
République Tchèque,Couronne tchèque,78866,2004,4,10228744,175.3,248.9,39.5,1.22,1.3
Slovaquie,Euro (2009),48845,2004,4,5447502,74.99,109.6,36.1,1.33,1.3
Slovénie,Euro (2007),20253,2004,3,2009245,46.08,54.7,41,1.26,1.3
Bulgarie,Lev,110910,2007,2,7322858,39.61,86.3,40.9,1.39,1.3
Roumanie,Leu,238391,2007,2,22276056,166,245.5,36.9,1.38,1.3
Suisse,Franc suisse,41290,NA,4,7554661,423.9,300.2,40.4,1.44,1.5
Etats-Unis,Dollar,9826630,NA,0,301139947,13840,13840,36.6,2.09,2.1
Chine,Yuan,9596960,NA,0,1321851741,3251,6991,33.2,1.75,1.7
Inde,Roupie,3287592,NA,0,1129866154,1099,2989,24.8,2.81,2.9
Japon,Yen,377835,NA,0,127433494,4384,4290,43.5,1.23,1.3
Russie,Rouble,17075200,NA,5,141377752,1286,2088,38.2,1.39,1.3
Taïwan,Dollar taïwanais,35980,NA,0,22858872,383.3,695.4,35.5,1.12,1.1
Hong Kong,Dollar de Hong Kong,1092,NA,0,6980412,206.7,292.8,41.2,0.98,0.9
